,response id,birth year,gender,industry desc,occupation desc,organization size,manage others?,household,years at job,metro or regional,rw percentage (2020),org encouraged rw?,org prepared for rw?,rw is common at org?,rw permission is attainable,rw collaboration easy?,preferred rw percentage (2020),preferred rw percentage (future),if no covid: employer encourage rw ,if no covid: employer support rw,if no covid: i would have choice about rw,productivity (remote vs office),in-person: hours  commuting ,in-person: hours  working,in-person: hours  personal/family time,in-person: hours domestic responsibilities,remote: hours commuting ,remote: hours working,remote: hours personal/family time,remote: hours domestic responsibilities
430,431,1991,Female,Retail Trade,Sales ,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,100% - All of my time,100% - All of my time,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,1.0,8.0,5.0,2.0,0.0,8.0,6.0,2.0
431,432,1987,Male,"Professional, Scientific and Technical Services",Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,80%,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,20%,20%,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% less productive when working remotely,0.5,8.0,4.0,2.0,0.1,8.0,6.0,2.0
432,433,1985,Male,"Agriculture, Forestry and Fishing",Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Regional,60%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,60%,50% - About half of my time,Somewhat disagree,Somewhat agree,Neither agree nor disagree,My productivity is about same when I work remotely,0.25,9.5,4.0,2.0,0.0,9.0,5.0,2.0
433,434,1961,Female,Administrative and Support Services,Clerical and administrative ,More than 200,No,Couple with no dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Strongly disagree,Strongly disagree,Strongly disagree,My productivity is about same when I work remotely,1.0,8.0,4.0,2.0,0.5,8.0,4.0,2.0
434,435,1968,Male,Public Administration and Safety,Machinery operators and drivers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,10%,Less than 10% of my time,Strongly disagree,Somewhat disagree,Strongly disagree,I’m 50% less productive when working remotely (or less),0.0,10.0,14.0,0.0,0.0,3.0,17.0,4.0
435,436,1986,Female,Financial and Insurance Services,Clerical and administrative ,Between 20 and 199,Yes,Group household,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat disagree,Somewhat agree,Somewhat agree,I’m 50% more productive when working remotely (or more),1.0,8.0,3.0,3.0,0.5,10.0,2.0,3.0
436,437,1956,Male,Financial and Insurance Services,Sales ,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,I would not have preferred to work remotely ,Less than 10% of my time,Strongly agree,Somewhat agree,Strongly agree,I’m 50% less productive when working remotely (or less),1.0,7.0,3.0,1.0,0.0,8.0,3.0,1.0
437,438,1968,Male,Information Media and Telecommunications,Managers,Between 5 and 19,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),1.0,7.0,4.0,0.0,0.0,8.0,7.0,0.0
438,439,1973,Female,Administrative and Support Services,Clerical and administrative ,More than 200,Yes,Single person,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,1.5,9.0,5.0,7.0,2.0,10.0,4.0,5.0
439,440,1984,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro,70%,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,40%,50% - About half of my time,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I’m 20% less productive when working remotely,2.5,7.0,3.0,1.0,0.5,7.0,3.0,1.0
440,441,1967,Male,Public Administration and Safety,Professionals,More than 200,Yes,Single person,Between 6 and 12 months,Metro,90%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,60%,50% - About half of my time,Somewhat agree,Strongly agree,Somewhat agree,My productivity is about same when I work remotely,1.0,9.0,4.0,0.0,0.0,9.0,5.0,0.0
441,442,1964,Male,Financial and Insurance Services,Professionals,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,30%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,50% - About half of my time,40%,Strongly disagree,Somewhat disagree,Strongly disagree,My productivity is about same when I work remotely,2.0,8.0,2.0,1.0,0.5,9.0,3.0,2.0
442,443,1963,Female,Other Services,Sales ,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,4.0,7.0,0.5,0.0,0.0,8.0,0.5,0.5
443,444,1961,Male,Financial and Insurance Services,Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,80%,80%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 10% more productive when working remotely,3.5,8.0,3.0,1.5,0.5,9.0,5.0,1.5
444,445,1971,Female,Public Administration and Safety,Managers,More than 200,Yes,Single person,More than 5 years,Regional,Rarely or never ,,,,,,Less than 10% of my time,Less than 10% of my time,Strongly disagree,Strongly disagree,Strongly disagree,I’m 10% less productive when working remotely,0.5,10.0,4.0,1.0,0.0,7.0,5.0,2.0
445,446,1994,Male,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,Less than 10% of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Less than 10% of my time,Less than 10% of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,My productivity is about same when I work remotely,2.0,8.0,2.0,2.0,0.0,8.0,2.0,2.0
446,447,1978,Male,Wholesale Trade,Professionals,Between 20 and 199,Yes,Single person,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,100% - All of my time,70%,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,2.0,9.0,3.5,2.0,0.5,9.0,4.5,2.5
447,448,1966,Female,Manufacturing,Managers,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,60%,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,20%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 10% more productive when working remotely,2.0,8.0,3.0,1.0,0.45,9.0,3.0,1.0
448,449,1965,Male,Manufacturing,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,50% - About half of my time,50% - About half of my time,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 50% more productive when working remotely (or more),1.0,9.0,2.0,2.0,2.0,12.0,5.0,5.0
449,450,1965,Male,"Electricity, Gas, Water and Waste Services",Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Strongly agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),2.0,6.0,4.0,6.0,1.0,8.0,2.0,4.0
450,451,1960,Female,Health Care and Social Assistance,Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,80%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,80%,80%,Somewhat agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),1.0,7.0,4.0,2.0,0.0,8.0,4.0,2.0
451,452,1988,Male,Retail Trade,Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,60%,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,40%,30%,Strongly disagree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,1.5,10.0,4.0,1.0,0.5,10.0,5.0,2.0
452,453,1958,Female,"Agriculture, Forestry and Fishing",Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,2.0,9.0,2.0,2.0,0.5,10.0,2.0,2.0
453,454,1959,Female,Financial and Insurance Services,Clerical and administrative ,Between 5 and 19,No,Single person,Between 6 and 12 months,Regional,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,100% - All of my time,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1.0,7.0,2.0,1.5,0.5,7.0,2.0,2.0
454,455,1959,Male,"Electricity, Gas, Water and Waste Services",Sales ,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,60%,Strongly agree,Strongly agree,Strongly agree,I’m 20% more productive when working remotely,2.0,9.0,2.0,1.0,0.5,9.0,3.5,1.0
455,456,1963,Female,Manufacturing,Managers,Between 20 and 199,No,One  parent family with dependent children,Between 6 and 12 months,Metro,20%,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,80%,80%,Neither agree nor disagree,Somewhat agree,Somewhat agree,I’m 40% more productive when working remotely,0.2,7.0,2.0,3.0,1.0,8.0,5.0,1.0
456,457,1996,Female,Health Care and Social Assistance,Professionals,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,20%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,20%,I would prefer not to work remotely ,Somewhat disagree,Strongly disagree,Strongly agree,My productivity is about same when I work remotely,0.5,14.0,4.0,2.0,0.5,14.0,4.0,2.0
457,458,1984,Male,Information Media and Telecommunications,Professionals,Between 5 and 19,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,30%,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,30%,30%,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,2.0,8.0,3.0,2.0,0.0,9.0,4.0,3.0
458,459,1959,Male,"Professional, Scientific and Technical Services",Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,80%,Somewhat agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),3.0,9.0,4.0,1.0,0.0,10.0,6.0,2.0
459,460,1961,Male,Other Services,Clerical and administrative ,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,70%,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,90%,50% - About half of my time,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,4.0,7.5,4.0,2.0,0.5,8.0,6.0,3.0
460,461,1980,Male,Administrative and Support Services,Clerical and administrative ,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,80%,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,100% - All of my time,90%,Somewhat disagree,Strongly disagree,Somewhat disagree,I’m 30% more productive when working remotely,2.0,8.0,3.0,1.0,0.5,8.0,4.0,1.0
461,462,1972,Female,Health Care and Social Assistance,Community and personal service ,I am the only employee,No,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,50% - About half of my time,50% - About half of my time,Strongly disagree,Strongly disagree,Strongly disagree,I’m 10% less productive when working remotely,1.0,8.0,2.0,5.0,0.0,7.0,4.0,7.0
462,463,1965,Male,Financial and Insurance Services,Sales ,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,10%,20%,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1.0,8.0,3.0,2.0,1.0,9.0,2.0,2.0
463,464,1970,Male,Education and Training,Managers,More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Less than 10% of my time,Less than 10% of my time,Somewhat agree,Somewhat agree,Somewhat agree,I’m 10% less productive when working remotely,0.5,9.0,2.0,5.0,0.0,10.0,1.0,1.0
464,465,1988,Male,Retail Trade,Managers,I am the only employee,No,Group household,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,0.0,6.0,2.0,1.0,0.0,6.0,2.0,1.0
465,466,1980,Female,Information Media and Telecommunications,Professionals,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,20%,40%,Strongly agree,Somewhat agree,Strongly agree,I’m 30% more productive when working remotely,1.0,8.5,5.0,1.0,0.0,10.0,5.0,1.0
466,467,1963,Male,Financial and Insurance Services,Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Somewhat agree,Somewhat agree,Neither agree nor disagree,I’m 30% more productive when working remotely,1.5,7.5,4.0,4.0,0.5,8.0,8.0,4.0
467,468,1961,Male,"Electricity, Gas, Water and Waste Services",Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,40%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,20%,Somewhat agree,Somewhat agree,Strongly agree,I’m 30% more productive when working remotely,1.5,9.0,0.5,4.0,0.5,11.0,1.0,4.0
468,469,1980,Male,Retail Trade,Professionals,More than 200,Yes,Single person,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,100% - All of my time,100% - All of my time,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,0.5,9.0,13.5,1.0,0.0,9.0,14.0,1.0
469,470,1973,Male,Financial and Insurance Services,Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,10%,40%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 10% less productive when working remotely,1.5,8.0,3.0,1.0,0.5,8.0,4.0,1.0
470,471,2000,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,40%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,I would prefer not to work remotely ,Somewhat agree,Strongly agree,Strongly agree,I’m 10% more productive when working remotely,2.0,8.0,4.0,10.0,0.1,7.9,10.0,6.0
471,472,1985,Male,Financial and Insurance Services,Sales ,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,40%,Somewhat agree,Neither agree nor disagree,Somewhat disagree,I’m 10% less productive when working remotely,1.0,1.0,2.0,8.0,1.0,6.0,2.0,7.0
472,473,1956,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,60%,Strongly agree,Neither agree nor disagree,Strongly agree,I’m 10% more productive when working remotely,1.0,11.0,3.0,1.0,0.0,11.0,3.5,1.0
473,474,1961,Female,Health Care and Social Assistance,Professionals,I am the only employee,No,Couple with dependent children,Between 1 and 5 years,Metro,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,30%,30%,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,3.0,9.0,2.0,2.0,4.0,8.0,2.0,2.0
474,475,1990,Female,Education and Training,Sales ,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Less than 10% of my time,50% - About half of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,I’m 20% more productive when working remotely,1.0,8.0,1.0,1.0,0.0,8.0,3.0,1.0
475,476,1959,Female,Education and Training,Clerical and administrative ,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,60%,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,I’m 50% more productive when working remotely (or more),3.0,9.0,3.0,2.0,0.5,8.0,5.0,3.0
476,477,1979,Female,Education and Training,Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,1.0,7.0,4.0,4.0,1.0,8.0,3.0,4.0
477,478,1976,Male,Manufacturing,Clerical and administrative ,More than 200,No,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,100% - All of my time,70%,Somewhat disagree,Somewhat disagree,Somewhat disagree,I’m 30% more productive when working remotely,3.0,7.0,3.0,3.0,0.5,8.0,4.5,4.0
478,479,1986,Female,Education and Training,Managers,More than 200,Yes,Single person,More than 5 years,Regional,50% - I spent about half of my time remote working,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,100% - All of my time,30%,Strongly disagree,Strongly disagree,Strongly disagree,I’m 20% more productive when working remotely,0.5,12.0,3.0,1.0,0.0,8.0,3.0,2.0
479,480,1964,Female,Health Care and Social Assistance,Community and personal service ,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Strongly disagree,Strongly disagree,Strongly disagree,I’m 50% less productive when working remotely (or less),1.0,9.0,3.0,2.0,0.5,6.0,3.0,2.0
480,481,1956,Male,Financial and Insurance Services,Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,20%,20%,Strongly agree,Neither agree nor disagree,Somewhat agree,I’m 20% less productive when working remotely,3.0,8.0,4.0,1.0,3.0,8.0,9.0,4.0
481,482,1992,Female,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Somewhat disagree,Neither agree nor disagree,Somewhat agree,I’m 30% more productive when working remotely,2.0,9.0,3.0,0.5,0.5,9.0,4.0,0.5
482,483,1960,Male,Public Administration and Safety,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,Less than 10% of my time,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% less productive when working remotely,3.0,10.0,8.0,3.0,1.0,10.0,10.0,3.0
483,484,1958,Male,"Electricity, Gas, Water and Waste Services",Managers,More than 200,Yes,Single person,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,I’m 30% more productive when working remotely,2.0,8.0,4.0,2.0,0.0,8.0,6.0,2.0
484,485,1996,Female,"Rental, Hiring and Real Estate Services",Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,90%,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,100% - All of my time,60%,Somewhat agree,Somewhat disagree,Somewhat disagree,I’m 20% more productive when working remotely,2.5,8.0,2.0,0.0,0.0,9.0,3.0,1.0
485,486,1964,Male,"Rental, Hiring and Real Estate Services",Managers,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,70%,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,40%,30%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% less productive when working remotely,1.0,8.0,3.0,3.0,0.5,9.0,4.0,4.0
486,487,1988,Male,Education and Training,Clerical and administrative ,More than 200,No,Other one family household,More than 5 years,Regional,70%,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,80%,70%,Somewhat disagree,Somewhat disagree,Somewhat disagree,I’m 10% less productive when working remotely,1.0,7.0,4.0,2.0,0.0,7.0,5.0,4.0
487,488,1973,Male,Health Care and Social Assistance,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,Less than 10% of my time,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,20%,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,2.0,9.0,4.0,4.0,0.0,9.0,4.0,4.0
488,489,1988,Female,Health Care and Social Assistance,Professionals,Between 20 and 199,No,Couple with no dependent children,Between 6 and 12 months,Metro,80%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,I’m 20% less productive when working remotely,1.0,8.0,8.0,3.0,0.0,8.0,3.0,3.0
489,490,1962,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,50% - About half of my time,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 20% more productive when working remotely,2.0,8.0,2.0,1.0,0.5,9.5,2.0,1.0
490,491,1988,Male,Information Media and Telecommunications,Professionals,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,10%,I would prefer not to work remotely ,Somewhat disagree,Neither agree nor disagree,Strongly agree,My productivity is about same when I work remotely,2.5,8.0,1.5,0.0,1.0,8.0,2.5,0.0
491,492,1982,Female,"Rental, Hiring and Real Estate Services",Professionals,Between 5 and 19,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro,70%,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,80%,70%,Somewhat agree,Strongly agree,Somewhat agree,My productivity is about same when I work remotely,2.0,7.0,7.0,8.0,1.0,7.0,9.0,7.0
492,493,1989,Male,Financial and Insurance Services,Professionals,More than 200,Yes,Other one family household,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,70%,70%,Neither agree nor disagree,Somewhat agree,Somewhat agree,I’m 10% more productive when working remotely,2.0,8.0,1.0,1.0,0.0,10.0,2.0,1.0
493,494,1987,Male,Other Services,Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,20%,Less than 10% of my time,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% less productive when working remotely,2.0,8.0,2.0,1.0,0.0,9.0,3.0,2.0
494,495,1985,Male,Health Care and Social Assistance,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,70%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,30%,I would prefer not to work remotely ,Neither agree nor disagree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1.0,7.5,1.0,2.0,0.0,9.0,2.0,3.0
495,496,1990,Female,Other Services,Professionals,More than 200,No,Group household,More than 5 years,Metro,90%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,100% - All of my time,50% - About half of my time,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,3.0,8.0,2.0,2.0,1.0,10.0,5.0,2.0
496,497,1971,Female,Construction,Clerical and administrative ,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,1.0,6.0,5.0,2.0,0.0,6.0,5.0,3.0
497,498,1983,Male,Manufacturing,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,90%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat agree,Somewhat agree,Somewhat agree,I’m 30% more productive when working remotely,1.0,8.0,8.0,2.0,0.2,9.0,8.0,2.0
498,499,1981,Male,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,90%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,70%,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1.5,7.5,4.0,1.0,0.5,7.5,6.0,1.0
499,500,1985,Female,Education and Training,Community and personal service ,More than 200,No,Other one family household,More than 5 years,Metro,Less than 10% of my time,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Strongly disagree,Strongly disagree,Strongly disagree,My productivity is about same when I work remotely,1.0,8.0,5.0,2.0,0.25,8.0,6.0,2.0
500,501,1963,Female,Construction,Professionals,Between 20 and 199,Yes,Multiple family household,More than 5 years,Regional,20%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,30%,50% - About half of my time,Strongly disagree,Neither agree nor disagree,Somewhat disagree,I’m 50% more productive when working remotely (or more),2.0,6.0,4.0,5.0,2.0,3.0,6.0,4.0
