responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,rw_percentage_2020,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities
639,1961,Male,"Professional, Scientific and Technical Services",Professionals,Between 5 and 19,No,Couple with no dependent children,Between 6 and 12 months,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,2.5,8.0,3.0,1.0,0.0,8.0,3.0,1.0
640,1972,Male,"Professional, Scientific and Technical Services",Professionals,Between 1 and 4,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Neither agree nor disagree,Somewhat disagree,Somewhat agree,same productivity,2.0,7.0,4.0,3.0,0.5,7.5,5.0,3.0
641,1956,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,more productive,1.0,8.0,3.0,2.0,0.5,8.0,3.0,2.0
642,1967,Male,Financial and Insurance Services,Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,same productivity,0.3,12.0,1.0,0.5,0.0,9.0,2.0,1.0
643,1970,Male,"Professional, Scientific and Technical Services",Other,Between 5 and 19,Yes,Single person,Between 6 and 12 months,Regional,0-1 days,No response,No response,No response,No response,No response,0-1 days,0-1 days,Strongly disagree,Neither agree nor disagree,Somewhat disagree,much less productive,0.25,7.0,5.0,1.0,0.0,7.0,5.0,2.0
644,1979,Male,Other,Professionals,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,4-5 days,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,much more productive,1.0,7.0,1.0,0.0,0.0,9.0,1.0,1.0
645,1987,Male,Other,Sales ,Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro,3-4 days,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3-4 days,3-4 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,2.0,10.0,2.0,2.0,0.5,10.0,2.0,2.0
646,1965,Female,Education and Training,Managers,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,same productivity,0.5,2.0,3.0,3.0,0.0,2.0,3.0,3.0
647,1966,Female,Education and Training,Clerical and administrative ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,0-1 days,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,less productive,1.0,7.0,5.0,2.0,0.5,7.0,7.0,2.0
648,1962,Female,Education and Training,Other,More than 200,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,much more productive,1.0,6.25,2.0,2.5,0.5,6.25,3.0,2.5
649,1970,Female,Health Care and Social Assistance,Professionals,I am the only employee,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,same productivity,0.0,6.0,2.0,2.0,0.0,6.0,2.0,2.0
650,1990,Male,Health Care and Social Assistance,Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,2-3 days,2-3 days,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,more productive,2.0,10.0,10.0,2.0,2.0,10.0,10.0,2.0
651,1972,Male,Financial and Insurance Services,Managers,Between 20 and 199,Yes,Single person,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,0-1 days,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,2.0,8.0,3.0,1.0,0.0,9.0,0.0,0.0
652,1981,Male,Education and Training,Professionals,More than 200,No,Single person,Between 1 and 5 years,Regional,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,0.75,7.5,0.5,0.0,0.1,8.0,1.0,0.0
653,1969,Male,Other,Managers,More than 200,Yes,Single person,More than 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,0-1 days,0-1 days,Somewhat agree,Strongly agree,Strongly agree,much less productive,2.0,10.0,11.0,1.0,0.0,11.0,12.0,1.0
654,1985,Male,Financial and Insurance Services,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Strongly agree,Strongly agree,Strongly agree,same productivity,1.5,10.0,1.0,2.0,0.0,11.0,3.0,1.0
655,1981,Male,"Professional, Scientific and Technical Services",Sales ,Between 20 and 199,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,more productive,2.0,5.0,0.0,0.0,0.0,7.0,2.0,2.0
656,1960,Female,Education and Training,Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Regional,0-1 days,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,2-3 days,2-3 days,Strongly disagree,Neither agree nor disagree,Strongly disagree,more productive,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0
657,1988,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Group household,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,1-2 days,1-2 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,much less productive,3.0,7.0,3.5,1.0,0.0,8.0,4.0,1.0
658,1986,Female,Health Care and Social Assistance,Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,0-1 days,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,0.5,8.0,2.0,1.0,0.25,10.0,2.0,2.0
659,1966,Female,Other,Clerical and administrative ,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Strongly agree,Strongly agree,Strongly agree,much more productive,2.0,7.0,4.0,1.0,2.0,7.0,2.0,2.0
660,1966,Male,Information Media and Telecommunications,Managers,More than 200,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,2-3 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,more productive,3.0,9.0,0.0,0.0,0.5,11.0,0.0,0.0
661,1960,Male,Education and Training,Professionals,Between 20 and 199,No,Single person,Between 1 and 5 years,Regional,1-2 days,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,2-3 days,0-1 days,Somewhat disagree,Strongly disagree,Strongly disagree,less productive,3.0,6.0,2.0,2.0,2.0,4.0,4.0,3.0
662,1970,Female,Financial and Insurance Services,Sales ,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,less productive,1.0,8.0,1.0,2.0,0.0,8.0,2.0,2.0
663,1984,Male,Health Care and Social Assistance,Managers,More than 200,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,more productive,0.75,9.0,6.0,1.0,0.4,9.0,7.0,1.0
664,1985,Female,Other,Managers,Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,3-4 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,same productivity,1.0,5.0,10.0,3.0,1.0,6.0,9.0,2.0
665,1982,Male,"Professional, Scientific and Technical Services",Managers,More than 200,Yes,Group household,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,more productive,1.0,7.0,1.0,1.0,0.0,7.0,2.0,1.0
666,1985,Male,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,Yes,Group household,Between 1 and 5 years,Metro,0-1 days,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,2-3 days,1-2 days,Strongly disagree,Strongly disagree,Strongly disagree,more productive,4.0,11.0,0.5,0.0,0.5,11.0,2.0,1.0
667,1975,Male,Other,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,2-3 days,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,more productive,2.5,10.0,0.0,2.0,0.0,10.0,1.0,2.0
668,1979,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat agree,Strongly agree,Strongly agree,more productive,2.0,7.0,2.0,1.0,0.0,9.0,2.0,1.0
669,1976,Male,Other,Other,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,1-2 days,3-4 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,much more productive,2.0,4.0,6.0,2.0,5.0,4.0,5.0,3.0
670,1980,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Strongly agree,Strongly agree,Strongly agree,same productivity,1.0,8.0,8.0,2.0,0.0,8.0,8.0,3.0
671,1985,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Group household,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Strongly agree,Neither agree nor disagree,Strongly agree,much more productive,3.0,8.0,2.0,1.0,0.5,8.0,4.0,1.0
672,1988,Female,Other,Professionals,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,same productivity,3.5,8.5,4.0,1.0,0.0,8.5,6.0,1.0
673,1984,Male,Education and Training,Professionals,More than 200,No,Single person,Between 1 and 5 years,Regional,0-1 days,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,less productive,1.0,7.0,3.0,2.0,0.5,6.0,5.0,1.0
674,1973,Female,Other,Clerical and administrative ,More than 200,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,2.5,8.0,4.0,2.0,0.5,9.0,4.0,2.0
675,1971,Male,Financial and Insurance Services,Clerical and administrative ,I am the only employee,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,4-5 days,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,1.0,8.0,2.0,1.0,0.0,8.0,2.0,2.0
676,1962,Female,Other,Professionals,More than 200,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly disagree,Somewhat disagree,Strongly disagree,much more productive,4.0,8.0,2.0,1.0,0.5,8.0,2.0,1.0
677,1972,Male,Education and Training,Professionals,Between 20 and 199,No,Single person,More than 5 years,Metro,1-2 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,3-4 days,1-2 days,Strongly disagree,Strongly disagree,Strongly disagree,more productive,1.75,9.0,1.0,0.5,1.2,7.0,0.5,0.4
678,1986,Male,Retail Trade,Professionals,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Neither agree nor disagree,Somewhat agree,same productivity,2.0,5.0,4.0,2.0,0.0,5.0,6.0,3.0
679,1995,Male,Education and Training,Managers,Between 1 and 4,No,Single person,Between 6 and 12 months,Metro,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,more productive,2.0,4.0,1.0,0.0,0.5,5.0,3.0,1.0
680,1984,Female,"Professional, Scientific and Technical Services",Managers,Between 5 and 19,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,4.0,8.5,2.0,1.5,0.5,8.5,5.0,1.0
681,1977,Male,Other,Other,Between 5 and 19,No,Couple with no dependent children,Between 1 and 5 years,Regional,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,1.0,6.0,2.0,1.0,0.5,6.0,2.0,1.0
682,1965,Male,Other,Managers,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,1-2 days,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,3.0,9.0,9.0,3.0,1.0,9.0,9.0,5.0
683,1964,Male,Other,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,3-4 days,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,3-4 days,3-4 days,Strongly agree,Strongly agree,Strongly agree,more productive,2.0,9.0,11.0,2.0,0.0,9.0,4.0,2.0
684,1985,Female,Education and Training,Professionals,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,2-3 days,2-3 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,more productive,1.0,7.0,3.0,1.0,1.0,7.0,3.0,2.0
685,1982,Male,Other,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,0-1 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,much more productive,4.0,8.0,2.0,1.0,4.0,8.0,2.0,1.0
686,1958,Male,Retail Trade,Managers,Between 1 and 4,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,3-4 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,much more productive,2.0,7.0,5.0,5.0,1.0,7.0,8.0,8.0
687,1960,Male,Other,Professionals,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,0-1 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,0-1 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,more productive,1.0,6.0,1.0,0.5,5.0,5.0,1.0,0.5
688,1987,Female,Other Services,Clerical and administrative ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,3.0,8.0,3.0,1.0,0.0,8.0,5.0,2.0
689,1984,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,1-2 days,Strongly agree,Strongly agree,Strongly agree,same productivity,1.0,7.0,8.0,8.0,0.0,7.0,10.0,7.0
690,1960,Male,Other Services,Other,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,0-1 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,0-1 days,2-3 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,much more productive,1.0,7.0,2.0,4.0,1.0,6.0,4.0,2.0
691,1962,Female,Other,Managers,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Regional,1-2 days,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,0-1 days,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,less productive,1.0,8.0,6.0,2.0,1.0,6.0,6.0,2.0
692,1956,Male,Education and Training,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,3-4 days,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,2-3 days,1-2 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,same productivity,1.0,11.0,2.0,3.0,0.0,11.0,3.0,3.0
693,1986,Male,Other Services,Other,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,0-1 days,0-1 days,Strongly disagree,Somewhat disagree,Neither agree nor disagree,much less productive,3.0,8.0,4.0,2.0,0.0,1.0,8.0,4.0
694,1958,Male,"Professional, Scientific and Technical Services",Professionals,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,2.0,8.0,2.0,2.0,0.5,8.5,3.0,2.0
695,1959,Male,"Professional, Scientific and Technical Services",Managers,I am the only employee,No,Single person,More than 5 years,Regional,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,more productive,0.5,8.0,3.0,1.0,0.0,8.0,3.0,1.0
696,1955,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,6.0,8.0,3.0,1.0,0.0,10.0,6.0,1.0
697,1988,Male,Other,Other,Between 5 and 19,Yes,Single person,Between 6 and 12 months,Metro,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,3-4 days,3-4 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,less productive,1.0,5.0,2.0,8.0,1.0,8.0,5.0,2.5
698,1985,Male,Other,Sales ,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,much more productive,1.0,9.0,2.0,4.0,0.0,6.0,4.0,2.0
699,1970,Female,Other,Clerical and administrative ,Between 5 and 19,No,Multiple family household,Between 1 and 5 years,Metro,0-1 days,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,2-3 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,same productivity,2.5,9.5,9.0,3.0,0.0,9.5,10.0,4.5
700,1991,Female,Other,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,0-1 days,No response,No response,No response,No response,No response,4-5 days,3-4 days,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,much more productive,5.0,8.0,2.0,2.0,5.0,8.0,2.0,2.0
701,1986,Male,Education and Training,Managers,More than 200,Yes,Couple with no dependent children,Between 6 and 12 months,Regional,3-4 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,3.0,5.0,1.0,1.0,0.0,8.0,5.0,1.0
702,1987,Male,"Professional, Scientific and Technical Services",Professionals,Between 5 and 19,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,2-3 days,0-1 days,Strongly disagree,Neither agree nor disagree,Somewhat disagree,much less productive,1.0,7.5,7.0,0.5,0.5,7.5,7.5,0.5
703,1956,Male,Other,Professionals,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Metro,2-3 days,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,2-3 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,much more productive,0.5,8.0,2.0,1.0,0.5,8.0,3.0,1.0
704,1989,Male,Financial and Insurance Services,Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,less productive,1.0,6.0,6.0,1.0,0.0,6.0,6.0,5.0
705,1968,Female,Financial and Insurance Services,Clerical and administrative ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,2.0,8.0,3.5,2.0,0.0,10.0,12.0,2.0
706,1965,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,much more productive,4.0,9.0,3.0,2.0,0.0,13.0,3.0,2.0
707,1988,Male,Other,Sales ,Between 1 and 4,No,Group household,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1.0,6.0,4.0,3.0,0.0,7.0,3.0,3.0
708,1990,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Group household,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,1.0,8.0,3.0,2.0,0.0,8.0,4.0,2.0
709,1988,Male,Financial and Insurance Services,Managers,More than 200,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3-4 days,2-3 days,Strongly agree,Somewhat agree,Somewhat agree,less productive,1.0,9.0,4.0,1.0,0.5,9.0,5.0,1.0
710,1985,Male,Other,Professionals,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,3-4 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,2-3 days,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,much more productive,1.0,5.0,1.0,4.0,2.0,1.0,4.0,1.0
711,1957,Female,"Professional, Scientific and Technical Services",Professionals,I am the only employee,No,Couple with no dependent children,More than 5 years,Regional,0-1 days,No response,No response,No response,No response,No response,1-2 days,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,same productivity,1.0,8.0,4.0,1.0,0.0,10.0,3.0,0.0
712,1987,Male,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Strongly agree,Strongly agree,same productivity,1.0,9.0,8.0,6.0,0.0,9.0,9.0,6.0
713,1989,Male,Financial and Insurance Services,Managers,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat agree,Strongly agree,Strongly agree,more productive,2.0,7.5,0.0,0.0,0.0,7.5,0.5,0.5
714,1986,Female,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,No,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1.0,7.0,4.0,2.0,0.0,7.5,5.0,2.0
715,1958,Male,Financial and Insurance Services,Managers,More than 200,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,0-1 days,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,less productive,0.5,8.0,4.0,1.0,0.0,12.0,2.0,1.0
716,1991,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Strongly disagree,Strongly disagree,Strongly disagree,same productivity,1.0,8.0,2.0,1.0,0.0,8.0,4.0,1.0
717,1963,Male,Retail Trade,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,1-2 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,same productivity,1.0,6.0,2.0,0.0,1.0,6.0,2.0,0.0
