responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,rw_percentage_2020,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities,commute_time_difference
425,1974,Male,Retail Trade,Professionals,More than 200,No,Group household,Between 1 and 5 years,Metro,3-4 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat disagree,Somewhat disagree,Somewhat agree,same productivity,3,8,5,1,1,8,6,1,2
426,1966,Female,Information Media and Telecommunications,Managers,More than 200,No,Single person,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Strongly agree,Strongly agree,Strongly agree,much more productive,2.5,8,8,5.5,0.5,9,7.5,7,2
427,1980,Male,Information Media and Telecommunications,Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,4-5 days,4-5 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,less productive,1,8,3,1,0,6,5,1,1
428,1958,Female,Financial and Insurance Services,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,much more productive,2,7,4,4,1,8,4,4,1
429,1969,Male,Financial and Insurance Services,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,2-3 days,1-2 days,Strongly agree,Strongly agree,Strongly agree,more productive,1.5,10,4.5,-1,0.5,11,3.5,1,1
430,1991,Female,Retail Trade,Sales ,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,4-5 days,4-5 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,same productivity,1,8,5,2,0,8,6,2,1
431,1987,Male,"Professional, Scientific and Technical Services",Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,1-2 days,1-2 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,less productive,0.5,8,4,2,0.1,8,6,2,0.4
432,1985,Male,Other,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Regional,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,3-4 days,2-3 days,Somewhat disagree,Somewhat agree,Neither agree nor disagree,same productivity,0.25,9.5,4,2,0,9,5,2,0.25
433,1961,Female,Other,Clerical and administrative ,More than 200,No,Couple with no dependent children,More than 5 years,Regional,4-5 days,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,0-1 days,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,same productivity,1,8,4,2,0.5,8,4,2,0.5
434,1968,Male,Other,Other,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,0-1 days,0-1 days,Strongly disagree,Somewhat disagree,Strongly disagree,much less productive,0,10,3.5,0,0,3,4,4,0
435,1986,Female,Financial and Insurance Services,Clerical and administrative ,Between 20 and 199,Yes,Group household,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat disagree,Somewhat agree,Somewhat agree,much more productive,1,8,3,3,0.5,10,2,3,0.5
436,1956,Male,Financial and Insurance Services,Sales ,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,0-1 days,0-1 days,Strongly agree,Somewhat agree,Strongly agree,much less productive,1,7,3,1,0,8,3,1,1
437,1968,Male,Information Media and Telecommunications,Managers,Between 5 and 19,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,1,7,4,0,0,8,7,0,1
438,1973,Female,Other,Clerical and administrative ,More than 200,Yes,Single person,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,same productivity,1.5,9,5,7,2,10,4,5,-0.5
439,1984,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro,3-4 days,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,less productive,2.5,7,3,1,0.5,7,3,1,2
440,1967,Male,Other,Professionals,More than 200,Yes,Single person,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,2-3 days,Somewhat agree,Strongly agree,Somewhat agree,same productivity,1,9,4,0,0,9,5,0,1
441,1964,Male,Financial and Insurance Services,Professionals,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,1-2 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Strongly disagree,Somewhat disagree,Strongly disagree,same productivity,2,8,2,1,0.5,9,3,2,1.5
442,1963,Female,Other Services,Sales ,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,more productive,4,7,0.5,0,0,8,0.5,0.5,4
443,1961,Male,Financial and Insurance Services,Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,3.5,8,3,1.5,0.5,9,5,1.5,3
444,1971,Female,Other,Managers,More than 200,Yes,Single person,More than 5 years,Regional,0-1 days,No response,No response,No response,No response,No response,0-1 days,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,less productive,0.5,10,4,1,0,7,5,2,0.5
445,1994,Male,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,0-1 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,0-1 days,0-1 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,same productivity,2,8,2,2,0,8,2,2,2
446,1978,Male,Other,Professionals,Between 20 and 199,Yes,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,more productive,2,9,3.5,2,0.5,9,4.5,2.5,1.5
447,1966,Female,Other,Managers,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,3-4 days,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,2,8,3,1,0.45,9,3,1,1.55
448,1965,Male,Other,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,2-3 days,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,much more productive,1,9,2,2,2,12,5,5,-1
449,1965,Male,Other,Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,2,6,4,6,1,8,2,4,1
450,1960,Female,Health Care and Social Assistance,Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat agree,Strongly agree,Strongly agree,much more productive,1,7,4,2,0,8,4,2,1
451,1988,Male,Retail Trade,Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,3-4 days,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,2-3 days,1-2 days,Strongly disagree,Neither agree nor disagree,Somewhat agree,same productivity,1.5,10,4,1,0.5,10,5,2,1
452,1958,Female,Other,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,2,9,2,2,0.5,10,2,2,1.5
453,1959,Female,Financial and Insurance Services,Clerical and administrative ,Between 5 and 19,No,Single person,Between 6 and 12 months,Regional,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,same productivity,1,7,2,1.5,0.5,7,2,2,0.5
454,1959,Male,Other,Sales ,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,3-4 days,Strongly agree,Strongly agree,Strongly agree,more productive,2,9,2,1,0.5,9,3.5,1,1.5
455,1963,Female,Other,Managers,Between 20 and 199,No,One  parent family with dependent children,Between 6 and 12 months,Metro,1-2 days,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,4-5 days,4-5 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,much more productive,0.2,7,2,3,1,8,5,1,-0.8
456,1996,Female,Health Care and Social Assistance,Professionals,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,1-2 days,0-1 days,Somewhat disagree,Strongly disagree,Strongly agree,same productivity,0.5,14,4,2,0.5,14,4,2,0
457,1984,Male,Information Media and Telecommunications,Professionals,Between 5 and 19,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,1-2 days,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,2,8,3,2,0,9,4,3,2
458,1959,Male,"Professional, Scientific and Technical Services",Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Strongly agree,Strongly agree,much more productive,3,9,4,1,0,10,6,2,3
459,1961,Male,Other Services,Clerical and administrative ,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,3-4 days,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,4-5 days,2-3 days,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,more productive,4,7.5,4,2,0.5,8,6,3,3.5
460,1980,Male,Other,Clerical and administrative ,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,4-5 days,4-5 days,Somewhat disagree,Strongly disagree,Somewhat disagree,much more productive,2,8,3,1,0.5,8,4,1,1.5
461,1972,Female,Health Care and Social Assistance,Other,I am the only employee,No,Couple with no dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,2-3 days,2-3 days,Strongly disagree,Strongly disagree,Strongly disagree,less productive,1,8,2,5,0,7,4,7,1
462,1965,Male,Financial and Insurance Services,Sales ,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,0-1 days,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1,8,3,2,1,9,2,2,0
463,1970,Male,Education and Training,Managers,More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,0-1 days,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,less productive,0.5,9,2,5,0,10,1,1,0.5
464,1988,Male,Retail Trade,Managers,I am the only employee,No,Group household,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,same productivity,0,6,2,1,0,6,2,1,0
465,1980,Female,Information Media and Telecommunications,Professionals,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,1-2 days,2-3 days,Strongly agree,Somewhat agree,Strongly agree,much more productive,1,8.5,5,1,0,10,5,1,1
466,1963,Male,Financial and Insurance Services,Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,much more productive,1.5,7.5,4,4,0.5,8,8,4,1
467,1961,Male,Other,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,1-2 days,Somewhat agree,Somewhat agree,Strongly agree,much more productive,1.5,9,0.5,4,0.5,11,1,4,1
468,1980,Male,Retail Trade,Professionals,More than 200,Yes,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,same productivity,0.5,9,3.5,1,0,9,4,1,0.5
469,1973,Male,Financial and Insurance Services,Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,0-1 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,less productive,1.5,8,3,1,0.5,8,4,1,1
470,2000,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,0-1 days,Somewhat agree,Strongly agree,Strongly agree,more productive,2,8,4,2,0.1,7.9,10,6,1.9
471,1985,Male,Financial and Insurance Services,Sales ,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat disagree,less productive,1,1,2,8,1,6,2,7,0
472,1956,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Strongly agree,Neither agree nor disagree,Strongly agree,more productive,1,11,3,1,0,11,3.5,1,1
473,1961,Female,Health Care and Social Assistance,Professionals,I am the only employee,No,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,more productive,3,9,2,2,4,8,2,2,-1
474,1990,Female,Education and Training,Sales ,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,0-1 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,0-1 days,2-3 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,more productive,1,8,1,1,0,8,3,1,1
475,1959,Female,Education and Training,Clerical and administrative ,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,much more productive,3,9,3,2,0.5,8,5,3,2.5
476,1979,Female,Education and Training,Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,same productivity,1,7,4,4,1,8,3,4,0
477,1976,Male,Other,Clerical and administrative ,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,4-5 days,3-4 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,much more productive,3,7,3,3,0.5,8,4.5,4,2.5
478,1986,Female,Education and Training,Managers,More than 200,Yes,Single person,More than 5 years,Regional,2-3 days,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,4-5 days,1-2 days,Strongly disagree,Strongly disagree,Strongly disagree,more productive,0.5,12,3,1,0,8,3,2,0.5
479,1964,Female,Health Care and Social Assistance,Other,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,0-1 days,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,much less productive,1,9,3,2,0.5,6,3,2,0.5
480,1956,Male,Financial and Insurance Services,Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,1-2 days,1-2 days,Strongly agree,Neither agree nor disagree,Somewhat agree,less productive,3,8,4,1,3,8,9,4,0
481,1992,Female,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,much more productive,2,9,3,0.5,0.5,9,4,0.5,1.5
482,1960,Male,Other,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,0-1 days,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,less productive,3,10,8,3,1,10,10,3,2
483,1958,Male,Other,Managers,More than 200,Yes,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,2,8,4,2,0,8,6,2,2
484,1996,Female,Other,Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Somewhat agree,Somewhat disagree,Somewhat disagree,more productive,2.5,8,2,0,0,9,3,1,2.5
485,1964,Male,Other,Managers,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,3-4 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,2-3 days,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,less productive,1,8,3,3,0.5,9,4,4,0.5
486,1988,Male,Education and Training,Clerical and administrative ,More than 200,No,Other one family household,More than 5 years,Regional,3-4 days,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,less productive,1,7,4,2,0,7,5,4,1
487,1973,Male,Health Care and Social Assistance,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,0-1 days,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,1-2 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,same productivity,2,9,4,4,0,9,4,4,2
488,1988,Female,Health Care and Social Assistance,Professionals,Between 20 and 199,No,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,less productive,1,8,8,3,0,8,3,3,1
489,1962,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,more productive,2,8,2,1,0.5,9.5,2,1,1.5
490,1988,Male,Information Media and Telecommunications,Professionals,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,0-1 days,0-1 days,Somewhat disagree,Neither agree nor disagree,Strongly agree,same productivity,2.5,8,1.5,0,1,8,2.5,0,1.5
491,1982,Female,Other,Professionals,Between 5 and 19,Yes,One  parent family with dependent children,Between 1 and 5 years,Metro,3-4 days,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,4-5 days,3-4 days,Somewhat agree,Strongly agree,Somewhat agree,same productivity,2,7,7,8,1,7,9,7,1
492,1989,Male,Financial and Insurance Services,Professionals,More than 200,Yes,Other one family household,Between 1 and 5 years,Metro,2-3 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,3-4 days,3-4 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,more productive,2,8,1,1,0,10,2,1,2
493,1987,Male,Other Services,Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,1-2 days,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,less productive,2,8,2,1,0,9,3,2,2
494,1985,Male,Health Care and Social Assistance,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,3-4 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,1-2 days,0-1 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,same productivity,1,7.5,1,2,0,9,2,3,1
495,1990,Female,Other Services,Professionals,More than 200,No,Group household,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,same productivity,3,8,2,2,1,10,5,2,2
496,1971,Female,Other,Clerical and administrative ,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,same productivity,1,6,5,2,0,6,5,3,1
497,1983,Male,Other,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,1,8,8,2,0.2,9,8,2,0.8
498,1981,Male,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1.5,7.5,4,1,0.5,7.5,6,1,1
499,1985,Female,Education and Training,Other,More than 200,No,Other one family household,More than 5 years,Metro,0-1 days,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,0-1 days,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,same productivity,1,8,5,2,0.25,8,6,2,0.75
500,1963,Female,Other,Professionals,Between 20 and 199,Yes,Multiple family household,More than 5 years,Regional,1-2 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,1-2 days,2-3 days,Strongly disagree,Neither agree nor disagree,Somewhat disagree,much more productive,2,6,4,5,2,3,6,4,0
501,1966,Male,Other Services,Other,Between 20 and 199,No,Multiple family household,More than 5 years,Metro,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1-2 days,1-2 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,same productivity,1,8,4,2,0,5,5,5,1
502,1984,Female,Other,Managers,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Regional,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,0-1 days,0-1 days,Strongly disagree,Strongly disagree,Strongly agree,less productive,2,8,2,2,2,6,4,2,0
503,1982,Female,Other Services,Managers,More than 200,No,Couple with no dependent children,More than 5 years,Metro,2-3 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,4-5 days,3-4 days,Somewhat disagree,Somewhat disagree,Somewhat agree,much less productive,1,8,3,1,1,8,3,1,0
504,1977,Male,Information Media and Telecommunications,Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,0,8,5,3,0,8,5,3,0
505,1980,Male,Other Services,Professionals,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,2-3 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,1-2 days,1-2 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,much more productive,1,3,0.5,0.5,0.5,4,1,0.5,0.5
506,1958,Male,Education and Training,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,more productive,1,9,6,1,0,12,5,1,1
507,1982,Male,Other,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,3-4 days,Strongly agree,Strongly agree,Strongly agree,much more productive,5,8,2,1,0.5,10,5,1,4.5
508,1978,Male,Other,Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,0-1 days,0-1 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,same productivity,0.5,10,4,1,0,10.5,4,0.5,0.5
509,1982,Male,"Professional, Scientific and Technical Services",Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,more productive,3,9,3,2,0,13,2,2,3
